"Team_Index","Player","FirstName","LastName","Age","TotalGamesPlayed","TotalGamesStarted","TotalMinutesPlayed","TotalFieldGoalsPerGame","TotalFieldGoalAttempts","TotalFieldGoals","TotalThreePointFieldGoalsPerGame","TotalThreePointFieldGoalAttempts","TotalThreePointFieldGoalPercent","TotalTwoPointFieldGoalsPerGame","TotalTwoPointFieldGoalAttempts","TotalTwoPointFieldGoalPercent","TotalEffectiveFieldGoalPercent","TotalFreeThrows","TotalFreeThrowAttempts","TotalFreeThrowPercent","TotalOffensiveRebounds","TotalDefensiveRebounds","TotalRebounds","TotalAssists","TotalSteals","TotalBlocks","TotalTurnovers","TotalPersonalFouls","TotalPoints","Team","Position","Player_ID"
22,"jonathan isaac","jonathan","isaac",26,58,2,914,146,286,0.51,42,112,0.375,104,174,0.598,0.584,59,82,0.72,73,187,260,30,43,70,27,64,393,"ORL","pf",22015
22,"markelle fultz","markelle","fultz",25,43,18,910,154,326,0.472,4,18,0.222,150,308,0.487,0.479,23,33,0.697,56,82,138,120,42,15,50,65,335,"ORL","pg",22017
22,"caleb houstan","caleb","houstan",21,59,13,815,80,206,0.388,72,193,0.373,8,13,0.615,0.563,21,26,0.808,28,56,84,29,15,4,16,61,253,"ORL","sf",22002
22,"chuma okeke","chuma","okeke",25,47,8,432,40,112,0.357,23,82,0.28,17,30,0.567,0.46,4,7,0.571,18,62,80,20,9,7,16,19,107,"ORL","sf",22011
22,"trevelin queen","trevelin","queen",26,14,0,165,14,38,0.368,3,17,0.176,11,21,0.524,0.408,9,12,0.75,3,17,20,18,7,5,7,15,40,"ORL","sg",22014
22,"admiral schofield","admiral","schofield",26,23,0,84,10,26,0.385,6,16,0.375,4,10,0.4,0.5,0,2,0,3,14,17,7,1,0,5,9,26,"ORL","pf",22005
22,"jett howard","jett","howard",20,18,0,67,10,30,0.333,7,25,0.28,3,5,0.6,0.45,2,4,0.5,1,6,7,6,2,2,3,4,29,"ORL","sf",22016
22,"kevon harris","kevon","harris",26,2,0,6,2,3,0.667,0,0,0,2,3,0.667,0.667,0,0,0,0,2,2,1,0,0,1,3,4,"ORL","sg",22018
23,"tyrese maxey","tyrese","maxey",23,70,70,2626,638,1419,0.45,212,569,0.373,426,850,0.501,0.524,328,378,0.868,36,222,258,433,69,33,116,151,1816,"PHI","pg",23005
23,"tobias harris","tobias","harris",31,70,70,2368,463,951,0.487,91,258,0.353,372,693,0.537,0.535,187,213,0.878,80,373,453,217,70,46,93,115,1204,"PHI","pf",23006
23,"kelly oubre jr.","kelly","oubre",28,68,52,2055,387,878,0.441,101,325,0.311,286,553,0.517,0.498,174,232,0.75,94,247,341,101,77,47,87,194,1049,"PHI","sf",23007
23,"paul reed","paul","reed",24,82,24,1590,259,480,0.54,21,57,0.368,238,423,0.563,0.561,61,85,0.718,193,295,488,109,67,84,67,198,600,"PHI","c",23004
23,"nicolas batum","nicolas","batum",35,57,38,1475,113,248,0.456,71,178,0.399,42,70,0.6,0.599,15,21,0.714,70,171,241,123,45,34,39,104,312,"PHI","pf",23003
23,"joel embiid","joel","embiid",29,39,39,1309,450,851,0.529,54,139,0.388,396,712,0.556,0.561,399,452,0.883,95,335,430,219,46,66,150,112,1353,"PHI","c",23002
23,"de'anthony melton","de'anthony","melton",25,38,33,1023,139,360,0.386,77,214,0.36,62,146,0.425,0.493,66,79,0.835,28,113,141,114,60,16,39,84,421,"PHI","sg",23012
23,"patrick beverley","patrick","beverley",35,47,5,919,104,241,0.432,35,109,0.321,69,132,0.523,0.504,51,63,0.81,30,115,145,144,24,18,49,83,294,"PHI","pg",17012
23,"buddy hield","buddy","hield",31,32,14,824,142,333,0.426,82,211,0.389,60,122,0.492,0.55,24,26,0.923,27,75,102,97,27,11,41,66,390,"PHI","sg",23001
23,"mo bamba","mo","bamba",25,57,17,740,97,198,0.49,25,64,0.391,72,134,0.537,0.553,34,50,0.68,77,161,238,41,22,60,39,101,253,"PHI","c",23010
23,"kj martin","kj","martin",23,58,2,715,93,171,0.544,7,23,0.304,86,148,0.581,0.564,21,39,0.538,40,88,128,50,20,11,30,97,214,"PHI","sf",23008
23,"kyle lowry","kyle","lowry",37,23,20,653,60,135,0.444,36,89,0.404,24,46,0.522,0.578,28,33,0.848,9,56,65,106,20,6,32,52,184,"PHI","pg",23009
23,"marcus morris","marcus","morris",34,37,7,637,90,205,0.439,36,90,0.4,54,115,0.47,0.527,31,36,0.861,18,91,109,26,13,11,19,61,247,"PHI","pf",6016
23,"cameron payne","cameron","payne",29,31,8,602,107,259,0.413,52,136,0.382,55,123,0.447,0.514,21,23,0.913,16,39,55,96,20,8,35,53,287,"PHI","pg",23011
23,"danuel house jr.","danuel","house",30,34,4,509,47,105,0.448,15,50,0.3,32,55,0.582,0.519,35,46,0.761,16,42,58,28,15,5,19,45,144,"PHI","sf",23023
23,"robert covington","robert","covington",33,26,3,419,40,89,0.449,17,48,0.354,23,41,0.561,0.545,21,24,0.875,29,60,89,17,33,16,11,49,118,"PHI","sf",23015
23,"jaden springer","jaden","springer",21,32,1,377,46,118,0.39,8,37,0.216,38,81,0.469,0.424,28,34,0.824,25,33,58,35,25,11,26,49,128,"PHI","pg",2015
23,"furkan korkmaz","furkan","korkmaz",26,35,0,300,30,76,0.395,14,40,0.35,16,36,0.444,0.487,14,20,0.7,4,26,30,25,14,3,10,17,88,"PHI","sg",23024
23,"ricky council iv","ricky","council",22,32,0,289,54,112,0.482,12,32,0.375,42,80,0.525,0.536,53,71,0.746,14,32,46,16,8,1,5,17,173,"PHI","sg",23013
23,"jeff dowtin","jeff","dowtin",26,12,0,142,20,36,0.556,9,19,0.474,11,17,0.647,0.681,3,4,0.75,3,17,20,27,7,1,5,1,52,"PHI","pg",23014
23,"terquavion smith","terquavion","smith",21,16,0,84,18,46,0.391,13,35,0.371,5,11,0.455,0.533,3,5,0.6,0,4,4,12,8,0,7,8,52,"PHI","pg",23016
